ID_KH,TEN_KH,DIACHI_KH,GIOITINH_KH,EMAIL_KH,NGAYSINH_KH,SDT_KH,USERNAME_KH,PASS_KH,TIKIXU,MA_HTTT
1,Nguyễn Hoàng Gia Đạt,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,julezrb88@gmail.com           ,10/30/1992 0:59,180501339,Chanda735           ,Kentucky            ,1813375504,NULL
2,Vũ Quang Đạt,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",1,kdrsoh.lqcvatvd@gmail.com     ,2/19/1991 4:47,957659802,Carolyn798          ,Nebraska            ,597323839,NULL
3,Lê Đặng Việt Anh,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1,hehvzza.cnslu@gmail.com       ,3/12/1988 23:19,690180611,Christine176        ,New Hampshire       ,-884258883,NULL
4,Tạ Minh Đức,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1,swedfju.ousrqdgvx@gmail.com   ,6/19/1991 1:02,260453456,Sidney43            ,Kansas              ,1931598475,NULL
5,Quốc Thanh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,crntldry.ipzvwcdor@gmail.com  ,4/19/1990 13:12,939874370,Lewis804            ,Wisconsin           ,-140487611,NULL
6,Đầu Bảo Linh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1,ymld231@gmail.com             ,10/16/1994 1:40,74465339,John0               ,Missouri            ,1106922226,NULL
7,Bùi Anh Đức,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1,wruis.dtaolbnvy@gmail.com     ,10/27/1981 21:03,727335931,Edgar032            ,Minnesota           ,38368773,NULL
8,Trần Mai Linh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,wvoa.aeqfjlgwi@gmail.com      ,4/24/1989 15:15,495892548,Sara44              ,Arizona             ,1333471484,NULL
9,Nguyễn Gia Phúc,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1,biqvq89@gmail.com             ,9/12/1989 13:30,3007,Norman270           ,West Virginia       ,-1736470325,NULL
10,Hưng,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,rjnk.iikoprfn@gmail.com       ,7/2/1992 8:53,707431210,Darrell766          ,Texas               ,949240491,NULL
11,Mạch Hiểu Lam ,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1,dcjvs.gqafedftn@gmail.com     ,8/30/1989 23:53,83881245,Kevin255            ,Rhode Island        ,-2069403255,NULL
12,Quang Minh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1,bwnqr01@gmail.com             ,2/19/1990 18:42,49973154,Vincent704          ,Washington          ,1054493791,NULL
13,Quang Minh,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,muek040@gmail.com             ,7/22/1984 9:37,520995900,Ericka544           ,Kentucky            ,660572365,NULL
14,Đoàn Danh Hưng,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,bhin@gmail.com                ,11/11/1995 17:47,912621251,Rhonda873           ,Missouri            ,-131146933,NULL
15,Nguyễn Linh Lan,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1,scfdqay.zcmwbtpp@gmail.com    ,12/15/1993 22:52,270288260,Aaron509            ,Washington          ,-1087612145,NULL
16,Lê Nguyễn Nhật Anh,120 Phan Xích Long P3 Quận Bình Thạnh,1,mlqdb7@gmail.com              ,2/26/1985 9:58,507387851,Salvador612         ,Florida             ,-253066380,NULL
17,Vinh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1,quoan.qzxuv@gmail.com         ,2/28/1982 14:28,258788744,Jay417              ,Maryland            ,677217003,NULL
18,Lê Đặng Việt Anh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,gusdy.whrsvqkto@gmail.com     ,10/17/1982 6:02,193421674,Nick199             ,Alaska              ,-1563096799,NULL
19,Lê Đức Nhật,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1,elykivvz.alusuw@gmail.com     ,9/3/1985 5:03,323292520,Marcella519         ,Massachusetts       ,344822110,NULL
20,Nguyễn Hoàng Gia Đạt,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1,fvkxc.sicvewj@gmail.com       ,8/30/1983 11:27,237625764,Julio376            ,Maine               ,1451023252,NULL
21,Lê Trần Minh Khang,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1,bxsjwjyy.jhdlmzyyy@gmail.com  ,5/7/1987 6:35,948836574,Dwight601           ,Tennessee           ,740377405,NULL
22,Lưu Lê Tự Kiên,"156 pAn Lạc A, QBình Tân, TpHCM",1,xeebskr.ausiy@gmail.com       ,5/30/1991 9:45,585635974,Naomi763            ,Massachusetts       ,686740411,NULL
23,Hứa Gia Bảo,"68 Nguyễn Huệ, P. Bến Nghé, Quận",1,xzlajgx.slkhw@gmail.com       ,11/8/1993 10:34,215692084,Colin118            ,Kentucky            ,1903698512,NULL
24,Nguyễn Hoàng Gia Vỹ,120 Phan Xích Long P3 Quận Bình Thạnh,0,xgyeewtq.rzfwjry@gmail.com    ,11/10/1987 1:23,672623600,Tyler161            ,Montana             ,1257341531,NULL
25,Trần Khánh Chi,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,bpamyoya.jhakcqd@gmail.com    ,7/25/1995 20:06,34637091,Jo55                ,Hawaii              ,1373961224,NULL
26,Nguyễn Tuấn Khanh,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1,tetmei.rgsqjbm@gmail.com      ,2/4/1991 6:12,590002793,Latisha973          ,New Jersey          ,-2015264746,NULL
27,Minh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,fhbkhjfe23@gmail.com          ,7/29/1990 1:28,147057897,Julia659            ,Hawaii              ,764496883,NULL
28,Trần Xuân Quang,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1,gwotvx.pksrkws@gmail.com      ,7/10/1987 7:22,127716643,Sheri595            ,Kansas              ,1202117274,NULL
29,Nguyễn Trung Hưng,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",0,achuvfv.gjzpg@gmail.com       ,10/29/1986 13:51,937315129,Moses507            ,Idaho               ,-725176403,NULL
30,Bùi Anh Đức,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,aldl851@gmail.com             ,1/11/1982 14:46,642028944,Iris807             ,Nebraska            ,-473561593,NULL
31,Nguyễn Xuân Hùng,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",0,tqwjt.nwffzop@gmail.com       ,11/24/1990 18:58,265030510,Clint633            ,Pennsylvania        ,654036960,NULL
32,Đầu Bảo Linh,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,bzaoouvi.fhliec@gmail.com     ,4/9/1987 19:20,656088423,Kyle819             ,Hawaii              ,-103367726,NULL
33,Nguyễn Vũ Khôi Nguyên,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,ebbpyf.wmtbrawn@gmail.com     ,1/6/1992 21:08,91921900,Trina447            ,Virginia            ,198867489,NULL
34,Nguyễn Việt Anh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",0,iewapyx65@gmail.com           ,10/21/1994 23:49,518223582,Marlon533           ,West Virginia       ,-867284441,NULL
35,Vương Đắc Quốc Anh,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",0,bercr.nmdtber@gmail.com       ,8/18/1985 4:01,603315349,Mason484            ,Maine               ,614754086,NULL
36,Đinh Đăng Việt Anh,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",0,cgxrjtc@gmail.com             ,7/3/1980 12:28,725568280,Salvatore557        ,Delaware            ,-1376214084,NULL
